-DOCSTART- -X- -X- O
was NN O O
no NN O O
adverse NN O O
reaction NN O O
that NN O O
was NN O O
more NN O O
than NN O O
2 NN O O
% NN O O
more NN O O
common NN O O
on NN O O
Cleviprex NN O O
than NN O O
on NN O O
the NN O O
average NN O O
of NN O O
all NN O O
comparators NN O O
. NN O O
Serious NN O O
Adverse NN O O
Events NN O O
and NN O O
Discontinuation NN O O
- NN O O
Perioperative NN O O
Hypertension NN O O
Studies NN O O
The NN O O
incidence NN O O
of NN O O
adverse NN O O
events NN O O
leading NN O O
to NN O O
study NN O O
drug NN O O
discontinuation NN O O
in NN O O
patients NN O O
with NN O O
perioperative NN O O
hypertension NN O O
receiving NN O O
Cleviprex NN O O
was NN O O
5.9 NN O O
% NN O O
versus NN O O
3.2 NN O O
% NN O O
for NN O O
all NN O O
active NN O O
comparators NN O O
. NN O O
For NN O O
patients NN O O
receiving NN O O
Cleviprex NN O O
and NN O O
all NN O O
active NN O O
comparators NN O O
the NN O O
incidence NN O O
of NN O O
serious NN O O
adverse NN O O
events NN O O
within NN O O
one NN O O
hour NN O O
of NN O O
drug NN O O
infusion NN O O
discontinuation NN O O
was NN O O
similar NN O O
. NN O O
Severe NN O O
Hypertension NN O O
The NN O O
adverse NN O O
events NN O O
for NN O O
patients NN O O
with NN O O
severe NN O O
hypertension NN O O
are NN O O
based NN O O
on NN O O
an NN O O
uncontrolled NN O O
study NN O O
in NN O O
patients NN O O
with NN O O
severe NN O O
hypertension NN O O
( NN O O
VELOCITY NN O O
, NN O O
n=126 NN O O
) NN O O
. NN O O
The NN O O
common NN O O
adverse NN O O
reactions NN O O
for NN O O
Cleviprex NN O O
in NN O O
severe NN O O
hypertension NN O O
included NN O O
headache NN B-AdverseReaction B-AdverseReaction
( NN O O
6.3 NN O O
% NN O O
) NN O O
, NN O O
nausea NN B-AdverseReaction B-AdverseReaction
( NN O O
4.8 NN O O
% NN O O
) NN O O
, NN O O
and NN O O
vomiting NN B-AdverseReaction B-AdverseReaction
( NN O O
3.2 NN O O
% NN O O
) NN O O
. NN O O
The NN O O
incidence NN O O
of NN O O
adverse NN O O
events NN O O
leading NN O O
to NN O O
study NN O O
drug NN O O
discontinuation NN O O
for NN O O
Cleviprex NN O O
in NN O O
severe NN O O
hypertension NN O O
was NN O O
4.8 NN O O
% NN O O
. NN O O
Less NN O O
Common NN O O
Adverse NN O O
Reactions NN O O
in NN O O
Patients NN O O
with NN O O
Severe NN O O
or NN O O
Essential NN O O
Hypertension NN O O
Adverse NN O O
reactions NN O O
that NN O O
were NN O O
reported NN O O
in NN O O
< NN O O
1 NN O O
% NN O O
of NN O O
patients NN O O
with NN O O
severe NN O O
or NN O O
essential NN O O
hypertension NN O O
included:Cardiac NN O O
: NN O O
myocardial NN B-AdverseReaction B-AdverseReaction
infarction NN I-AdverseReaction I-AdverseReaction
cardiac NN B-AdverseReaction B-AdverseReaction
arrest NN I-AdverseReaction I-AdverseReaction
system NN O O
: NN O O
syncope NN B-AdverseReaction B-AdverseReaction
dyspnea NN B-AdverseReaction B-AdverseReaction
6.2 NN O O
Post NN O O
- NN O O
Marketing NN O O
and NN O O
Other NN O O
Clinical NN O O
Experience NN O O
Because NN O O
adverse NN O O
reactions NN O O
are NN O O
reported NN O O
voluntarily NN O O
from NN O O
a NN O O
population NN O O
of NN O O
uncertain NN O O
size NN O O
, NN O O
it NN O O
is NN O O
not NN O O
always NN O O
possible NN O O
to NN O O
estimate NN O O
reliably NN O O
their NN O O
frequency NN O O
or NN O O
to NN O O
establish NN O O
a NN O O
causal NN O O
relationship NN O O
to NN O O
drug NN O O
exposure NN O O
. NN O O
The NN O O
following NN O O
adverse NN O O
reactions NN O O
have NN O O
been NN O O
identified NN O O
during NN O O
post NN O O
- NN O O
approval NN O O
use NN O O
of NN O O
Cleviprex NN O O
: NN O O
increased NN B-AdverseReaction B-AdverseReaction
blood NN I-AdverseReaction I-AdverseReaction
triglycerides NN I-AdverseReaction I-AdverseReaction
ileus NN B-AdverseReaction B-AdverseReaction
hypersensitivity NN B-AdverseReaction B-AdverseReaction
hypotension NN B-AdverseReaction B-AdverseReaction
nausea NN B-AdverseReaction B-AdverseReaction
decreased NN B-AdverseReaction B-AdverseReaction
oxygen NN I-AdverseReaction I-AdverseReaction
saturation NN I-AdverseReaction I-AdverseReaction
( NN O O
possible NN O O
pulmonary NN B-AdverseReaction B-AdverseReaction
shunting NN I-AdverseReaction I-AdverseReaction
and NN O O
reflex NN B-AdverseReaction B-AdverseReaction
tachycardia NN I-AdverseReaction I-AdverseReaction
5 NN O O
WARNINGS NN O O
AND NN O O
PRECAUTIONS NN O O
EXCERPT NN O O
: NN O O
* NN O O
Maintain NN O O
aseptic NN O O
technique NN O O
. NN O O
Discard NN O O
unused NN O O
portion NN O O
12 NN O O
hours NN O O
after NN O O
stopper NN O O
puncture NN O O
. NN O O
( NN O O
5.1 NN O O
) NN O O
* NN O O
Hypotension NN B-AdverseReaction B-AdverseReaction
and NN O O
reflex NN B-AdverseReaction B-AdverseReaction
tachycardia NN I-AdverseReaction I-AdverseReaction
are NN O O
potential NN B-Factor B-Factor
consequences NN O O
of NN O O
rapid NN O O
upward NN O O
titration NN O O
of NN O O
Cleviprex NN O O
. NN O O
( NN O O
5.2 NN O O
) NN O O
* NN O O
Dihydropyridine NN B-DrugClass B-DrugClass
calcium NN I-DrugClass I-DrugClass
channel NN I-DrugClass I-DrugClass
blockers NN I-DrugClass I-DrugClass
can NN O O
produce NN O O
negative NN B-AdverseReaction B-AdverseReaction
inotropic NN I-AdverseReaction I-AdverseReaction
effects NN I-AdverseReaction I-AdverseReaction
and NN O O
exacerbate NN B-AdverseReaction B-AdverseReaction
heart NN I-AdverseReaction I-AdverseReaction
failure NN I-AdverseReaction I-AdverseReaction
Monitor NN O O
heart NN O O
failure NN O O
patients NN O O
carefully NN O O
. NN O O
( NN O O
5.4 NN O O
) NN O O
* NN O O
Cleviprex NN O O
gives NN O O
no NN O O
protection NN O O
against NN O O
the NN O O
effects NN O O
of NN O O
abrupt NN O O
beta NN O O
- NN O O
blocker NN O O
withdrawal NN O O
. NN O O
( NN O O
5.5 NN O O
) NN O O
* NN O O
Patients NN O O
who NN O O
receive NN O O
prolonged NN O O
Cleviprex NN O O
infusions NN O O
and NN O O
are NN O O
not NN O O
transitioned NN O O
to NN O O
other NN O O
antihypertensive NN O O
therapies NN O O
should NN O O
be NN O O
monitored NN O O
for NN O O
the NN O O
possibility NN O O
of NN O O
rebound NN O O
hypertension NN O O
for NN O O
at NN O O
least NN O O
8 NN O O
hours NN O O
after NN O O
the NN O O
infusion NN O O
is NN O O
stopped NN O O
. NN O O
( NN O O
5.6 NN O O
) NN O O
5.1 NN O O
Need NN O O
for NN O O
Aseptic NN O O
Technique NN O O
Use NN O O
aseptic NN O O
technique NN O O
and NN O O
discard NN O O
any NN O O
unused NN O O
product NN O O
within NN O O
12 NN O O
hours NN O O
of NN O O
stopper NN O O
puncture NN O O
[ NN O O
see NN O O
Dosage NN O O
and NN O O
Administration NN O O
( NN O O
2.3 NN O O
) NN O O
] NN O O
. NN O O
5.2 NN O O
Hypotension NN O O
and NN O O
Reflex NN O O
Tachycardia NN O O
Cleviprex NN O O
may NN B-Factor B-Factor
produce NN O O
systemic NN B-AdverseReaction B-AdverseReaction
hypotension NN I-AdverseReaction I-AdverseReaction
and NN O O
reflex NN B-AdverseReaction B-AdverseReaction
tachycardia NN I-AdverseReaction I-AdverseReaction
If NN O O
either NN O O
occurs NN O O
, NN O O
decrease NN O O
the NN O O
dose NN O O
of NN O O
Cleviprex NN O O
. NN O O
There NN O O
is NN O O
limited NN O O
experience NN O O
with NN O O
short NN O O
- NN O O
duration NN O O
therapy NN O O
with NN O O
beta NN O O
- NN O O
blockers NN O O
as NN O O
a NN O O
treatment NN O O
for NN O O
Cleviprex NN O O
- NN O O
induced NN O O
tachycardia NN O O
. NN O O
Beta NN O O
- NN O O
blocker NN O O
use NN O O
for NN O O
this NN O O
purpose NN O O
is NN O O
not NN O O
recommended NN O O
. NN O O
5.3 NN O O
Lipid NN O O
Intake NN O O
Cleviprex NN O O
contains NN O O
approximately NN O O
0.2 NN O O
g NN O O
of NN O O
lipid NN O O
per NN O O
mL NN O O
( NN O O
2.0 NN O O
kcal NN O O
) NN O O
. NN O O
Lipid NN O O
intake NN O O
restrictions NN O O
may NN O O
be NN O O
necessary NN O O
for NN O O
patients NN O O
with NN O O
significant NN O O
disorders NN O O
of NN O O
lipid NN O O
metabolism NN O O
. NN O O
For NN O O
these NN O O
patients NN O O
, NN O O
a NN O O
reduction NN O O
in NN O O
the NN O O
quantity NN O O
of NN O O
concurrently NN O O
administered NN O O
lipids NN O O
may NN O O
be NN O O
necessary NN O O
to NN O O
compensate NN O O
for NN O O
the NN O O
amount NN O O
of NN O O
lipid NN O O
infused NN O O
as NN O O
part NN O O
of NN O O
the NN O O
Cleviprex NN O O
formulation NN O O
. NN O O
5.4 NN O O
Negative NN O O
Inotropy NN O O
Dihydropyridine NN B-DrugClass B-DrugClass
calcium NN I-DrugClass I-DrugClass
channel NN I-DrugClass I-DrugClass
blockers NN I-DrugClass I-DrugClass
can NN O O
produce NN O O
negative NN B-AdverseReaction B-AdverseReaction
inotropic NN I-AdverseReaction I-AdverseReaction
effects NN I-AdverseReaction I-AdverseReaction
and NN O O
exacerbate NN B-AdverseReaction B-AdverseReaction
heart NN I-AdverseReaction I-AdverseReaction
failure NN I-AdverseReaction I-AdverseReaction
Monitor NN O O
heart NN O O
failure NN O O
patients NN O O
carefully NN O O
. NN O O
5.5 NN O O
Beta NN O O
- NN O O
Blocker NN O O
Withdrawal NN O O
Cleviprex NN O O
is NN O O
not NN O O
a NN O O
beta NN O O
- NN O O
blocker NN O O
, NN O O
does NN O O
not NN O O
reduce NN O O
heart NN O O
rate NN O O
, NN O O
and NN O O
gives NN O O
no NN O O
protection NN O O
against NN O O
the NN O O
effects NN O O
of NN O O
abrupt NN O O
beta NN O O
- NN O O
blocker NN O O
withdrawal NN O O
. NN O O
Beta NN O O
- NN O O
blockers NN O O
should NN O O
be NN O O
withdrawn NN O O
only NN O O
after NN O O
a NN O O
gradual NN O O
reduction NN O O
in NN O O
dose NN O O
. NN O O
5.6 NN O O
Rebound NN O O
Hypertension NN O O
Patients NN O O
who NN O O
receive NN O O
prolonged NN O O
Cleviprex NN O O
infusions NN O O
and NN O O
are NN O O
not NN O O
transitioned NN O O
to NN O O
other NN O O
antihypertensive NN O O
therapies NN O O
should NN O O
be NN O O
monitored NN O O
for NN O O
the NN O O
possibility NN O O
of NN O O
rebound NN O O
hypertension NN O O
for NN O O
at NN O O
least NN O O
8 NN O O
hours NN O O
after NN O O
the NN O O
infusion NN O O
is NN O O
stopped NN O O
. NN O O
5.7 NN O O
Pheochromocytoma NN O O
There NN O O
is NN O O
no NN O O
information NN O O
to NN O O
guide NN O O
use NN O O
of NN O O
Cleviprex NN O O
in NN O O
treating NN O O
hypertension NN O O
associated NN O O
with NN O O
pheochromocytoma NN O O
. NN O O

-DOCSTART- -X- -X- O

6 NN O O
ADVERSE NN O O
REACTIONS NN O O
The NN O O
following NN O O
adverse NN O O
reactions NN O O
are NN O O
discussed NN O O
in NN O O
more NN O O
detail NN O O
in NN O O
other NN O O
sections NN O O
of NN O O
the NN O O
labeling NN O O
: NN O O
* NN O O
Hemorrhage NN B-AdverseReaction B-AdverseReaction
[ NN O O
see NN O O
Warnings NN O O
and NN O O
Precautions NN O O
( NN O O
5.1 NN O O
) NN O O
] NN O O
* NN O O
Infections NN B-AdverseReaction B-AdverseReaction
[ NN O O
see NN O O
Warnings NN O O
and NN O O
Precautions NN O O
( NN O O
5.2 NN O O
) NN O O
] NN O O
* NN O O
Cytopenias NN B-AdverseReaction B-AdverseReaction
[ NN O O
see NN O O
Warnings NN O O
and NN O O
Precautions NN O O
( NN O O
5.3 NN O O
) NN O O
] NN O O
* NN O O
Atrial NN B-AdverseReaction B-AdverseReaction
Fibrillation NN I-AdverseReaction I-AdverseReaction
[ NN O O
see NN O O
Warnings NN O O
and NN O O
Precautions NN O O
( NN O O
5.4 NN O O
) NN O O
] NN O O
* NN O O
Second NN B-AdverseReaction B-AdverseReaction
Primary NN I-AdverseReaction I-AdverseReaction
Malignancies NN I-AdverseReaction I-AdverseReaction
[ NN O O
see NN O O
Warnings NN O O
and NN O O
Precautions NN O O
( NN O O
5.5 NN O O
) NN O O
] NN O O
* NN O O
Tumor NN B-AdverseReaction B-AdverseReaction
Lysis NN I-AdverseReaction I-AdverseReaction
Syndrome NN I-AdverseReaction I-AdverseReaction
[ NN O O
see NN O O
Warnings NN O O
and NN O O
Precautions NN O O
( NN O O
5.6 NN O O
) NN O O
] NN O O
Because NN O O
clinical NN O O
trials NN O O
are NN O O
conducted NN O O
under NN O O
widely NN O O
variable NN O O
conditions NN O O
, NN O O
adverse NN O O
event NN O O
rates NN O O
observed NN O O
in NN O O
clinical NN O O
trials NN O O
of NN O O
a NN O O
drug NN O O
can NN O O
not NN O O
be NN O O
directly NN O O
compared NN O O
with NN O O
rates NN O O
of NN O O
clinical NN O O
trials NN O O
of NN O O
another NN O O
drug NN O O
and NN O O
may NN O O
not NN O O
reflect NN O O
the NN O O
rates NN O O
observed NN O O
in NN O O
practice NN O O
. NN O O
EXCERPT NN O O
: NN O O
The NN O O
most NN O O
common NN O O
adverse NN O O
reactions NN O O
( NN O O
>=25 NN O O
% NN O O
) NN O O
in NN O O
patients NN O O
with NN O O
B NN O O
- NN O O
cell NN O O
malignancies NN O O
( NN O O
MCL NN O O
, NN O O
CLL NN O O
, NN O O
WM NN O O
) NN O O
were NN O O
thrombocytopenia NN B-AdverseReaction B-AdverseReaction
neutropenia NN B-AdverseReaction B-AdverseReaction
diarrhea NN B-AdverseReaction B-AdverseReaction
anemia NN B-AdverseReaction B-AdverseReaction
fatigue NN B-AdverseReaction B-AdverseReaction
musculoskeletal NN B-AdverseReaction B-AdverseReaction
pain NN I-AdverseReaction I-AdverseReaction
bruising NN B-AdverseReaction B-AdverseReaction
nausea NN B-AdverseReaction B-AdverseReaction
upper NN B-AdverseReaction B-AdverseReaction
respiratory NN I-AdverseReaction I-AdverseReaction
tract NN I-AdverseReaction I-AdverseReaction
infection NN I-AdverseReaction I-AdverseReaction
and NN O O
rash NN B-AdverseReaction B-AdverseReaction
To NN O O
report NN O O
SUSPECTED NN O O
ADVERSE NN O O
REACTIONS NN O O
, NN O O
contact NN O O
Pharmacyclics NN O O
at NN O O
1 NN O O
- NN O O
877 NN O O
- NN O O
877 NN O O
- NN O O
3536 NN O O
or NN O O
FDA NN O O
at NN O O
1 NN O O
- NN O O
800-FDA-1088 NN O O
or NN O O
www.fda.gov/medwatch NN O O
. NN O O
6.1 NN O O
Clinical NN O O
Trials NN O O
Experience NN O O
Mantle NN O O
Cell NN O O
Lymphoma NN O O
The NN O O
data NN O O
described NN O O
below NN O O
reflect NN O O
exposure NN O O
to NN O O
IMBRUVICA NN O O
in NN O O
a NN O O
clinical NN O O
trial NN O O
that NN O O
included NN O O
111 NN O O
patients NN O O
with NN O O
previously NN O O
treated NN O O
MCL NN O O
treated NN O O
with NN O O
560 NN O O
mg NN O O
daily NN O O
with NN O O
a NN O O
median NN O O
treatment NN O O
duration NN O O
of NN O O
8.3 NN O O
months NN O O
. NN O O
The NN O O
most NN O O
commonly NN O O
occurring NN O O
adverse NN O O
reactions NN O O
( NN O O
>= NN O O
20 NN O O
% NN O O
) NN O O
were NN O O
thrombocytopenia NN B-AdverseReaction B-AdverseReaction
diarrhea NN B-AdverseReaction B-AdverseReaction
neutropenia NN B-AdverseReaction B-AdverseReaction
anemia NN B-AdverseReaction B-AdverseReaction
fatigue NN B-AdverseReaction B-AdverseReaction
musculoskeletal NN B-AdverseReaction B-AdverseReaction
pain NN I-AdverseReaction I-AdverseReaction
peripheral NN B-AdverseReaction B-AdverseReaction
edema NN I-AdverseReaction I-AdverseReaction
upper NN B-AdverseReaction B-AdverseReaction
respiratory NN I-AdverseReaction I-AdverseReaction
tract NN I-AdverseReaction I-AdverseReaction
infection NN I-AdverseReaction I-AdverseReaction
nausea NN B-AdverseReaction B-AdverseReaction
bruising NN B-AdverseReaction B-AdverseReaction
dyspnea NN B-AdverseReaction B-AdverseReaction
constipation NN B-AdverseReaction B-AdverseReaction
rash NN B-AdverseReaction B-AdverseReaction
abdominal NN B-AdverseReaction B-AdverseReaction
pain NN I-AdverseReaction I-AdverseReaction
vomiting NN B-AdverseReaction B-AdverseReaction
and NN O O
decreased NN B-AdverseReaction B-AdverseReaction
appetite NN I-AdverseReaction I-AdverseReaction
( NN O O
see NN O O
Tables NN O O
1 NN O O
and NN O O
2 NN O O
) NN O O
. NN O O
The NN O O
most NN O O
common NN O O
Grade NN B-Severity B-Severity
3 NN I-Severity I-Severity
or NN O O
4 NN O O
non NN O O
- NN O O
hematological NN O O
adverse NN O O
reactions NN O O
( NN O O
>= NN O O
5 NN O O
% NN O O
) NN O O
were NN O O
pneumonia NN B-AdverseReaction B-AdverseReaction
abdominal NN B-AdverseReaction B-AdverseReaction
pain NN I-AdverseReaction I-AdverseReaction
atrial NN B-AdverseReaction B-AdverseReaction
fibrillation NN I-AdverseReaction I-AdverseReaction
diarrhea NN B-AdverseReaction B-AdverseReaction
fatigue NN B-AdverseReaction B-AdverseReaction
and NN O O
skin NN B-AdverseReaction B-AdverseReaction
infections NN I-AdverseReaction I-AdverseReaction
Fatal NN B-AdverseReaction B-AdverseReaction
and NN O O
serious NN B-Severity B-Severity
cases NN O O
of NN O O
renal NN B-AdverseReaction B-AdverseReaction
failure NN I-AdverseReaction I-AdverseReaction
have NN O O
occurred NN O O
with NN O O
IMBRUVICA NN O O
therapy NN O O
. NN O O
Increases NN B-AdverseReaction B-AdverseReaction
in NN I-AdverseReaction I-AdverseReaction
creatinine NN I-AdverseReaction I-AdverseReaction
1.5 NN B-Severity B-Severity
to NN I-Severity I-Severity
3 NN I-Severity I-Severity
times NN I-Severity I-Severity
the NN I-Severity I-Severity
upper NN I-Severity I-Severity
limit NN I-Severity I-Severity
of NN I-Severity I-Severity
normal NN I-Severity I-Severity
occurred NN O O
in NN O O
9 NN O O
% NN O O
of NN O O
patients NN O O
. NN O O
Adverse NN O O
reactions NN O O
from NN O O
the NN O O
MCL NN O O
trial NN O O
( NN O O
N=111 NN O O
) NN O O
using NN O O
single NN O O
agent NN O O
IMBRUVICA NN O O
560 NN O O
mg NN O O
daily NN O O
occurring NN O O
at NN O O
a NN O O
rate NN O O
of NN O O
>= NN O O
10 NN O O
% NN O O
are NN O O
presented NN O O
in NN O O
Table NN O O
1 NN O O
. NN O O
Table NN O O
1 NN O O
: NN O O
Non NN O O
- NN O O
Hematologic NN O O
Adverse NN O O
Reactions NN O O
in NN O O
>= NN O O
10 NN O O
% NN O O
of NN O O
Patients NN O O
with NN O O
MCL NN O O
( NN O O
N=111 NN O O
) NN O O
System NN O O
Organ NN O O
Class NN O O
Preferred NN O O
Term NN O O
All NN O O
Grades NN O O
( NN O O
% NN O O
) NN O O
Grade NN O O
3 NN O O
or NN O O
4 NN O O
( NN O O
% NN O O
) NN O O
Gastrointestinal NN O O
disorders NN O O
Diarrhea NN B-AdverseReaction B-AdverseReaction
51 NN O O
5 NN O O
Nausea NN B-AdverseReaction B-AdverseReaction
31 NN O O
0 NN O O
Constipation NN B-AdverseReaction B-AdverseReaction
25 NN O O
0 NN O O
Abdominal NN B-AdverseReaction B-AdverseReaction
pain NN I-AdverseReaction I-AdverseReaction
24 NN O O
5 NN O O
Vomiting NN B-AdverseReaction B-AdverseReaction
23 NN O O
0 NN O O
